unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1735992000,04.01.2025 12:00,BTC/USD,97856,97962,97772,97859,14.8347095,1451709.837
1735988400,04.01.2025 11:00,BTC/USD,97762,97892,97685,97882,6.30413373,617061.2178
1735984800,04.01.2025 10:00,BTC/USD,97657,97811,97601,97763,15.78356461,1543048.627
1735981200,04.01.2025 09:00,BTC/USD,97892,97969,97540,97674,33.96642636,3317636.728
1735977600,04.01.2025 08:00,BTC/USD,98237,98254,97893,97893,20.28724144,1985978.926
1735974000,04.01.2025 07:00,BTC/USD,98092,98289,98061,98215,10.04669189,986735.844
1735970400,04.01.2025 06:00,BTC/USD,98098,98150,98001,98082,18.05170742,1770547.567
1735966800,04.01.2025 05:00,BTC/USD,97973,98160,97944,98092,11.9406601,1171283.231
1735963200,04.01.2025 04:00,BTC/USD,98160,98160,97866,97967,5.56507856,545194.0513
1735959600,04.01.2025 03:00,BTC/USD,98250,98266,98012,98200,10.48340079,1029469.958
1735956000,04.01.2025 02:00,BTC/USD,97994,98269,97813,98227,11.70368111,1149617.484
1735952400,04.01.2025 01:00,BTC/USD,97919,98068,97787,98000,11.6258792,1139336.162
1735948800,04.01.2025 00:00,BTC/USD,98133,98240,97882,97916,54.46996268,5333480.866
1735945200,03.01.2025 23:00,BTC/USD,98277,98348,98024,98133,23.71905331,2327621.858
1735941600,03.01.2025 22:00,BTC/USD,98272,98493,98219,98262,14.66810886,1441317.713
1735938000,03.01.2025 21:00,BTC/USD,98300,98388,98159,98235,14.89892319,1463595.72
1735934400,03.01.2025 20:00,BTC/USD,98557,98731,98268,98320,94.05942458,9247922.625
1735930800,03.01.2025 19:00,BTC/USD,98495,98951,98486,98573,101.3286169,9988265.75
1735927200,03.01.2025 18:00,BTC/USD,98016,98658,97953,98483,31.50850743,3103052.337
1735923600,03.01.2025 17:00,BTC/USD,97842,98228,97813,97981,22.06438858,2161890.857
1735920000,03.01.2025 16:00,BTC/USD,97455,98374,97364,97809,138.0498512,13502517.9
1735916400,03.01.2025 15:00,BTC/USD,96948,97588,96702,97461,127.4433417,12420755.53
1735912800,03.01.2025 14:00,BTC/USD,96458,97267,96458,96975,154.3176628,14964955.35
1735909200,03.01.2025 13:00,BTC/USD,96608,96758,96423,96451,46.47323468,4482389.958
1735905600,03.01.2025 12:00,BTC/USD,96690,96852,96608,96609,24.15450412,2333542.489
1735902000,03.01.2025 11:00,BTC/USD,96433,96747,96413,96690,14.07010137,1360438.101
1735898400,03.01.2025 10:00,BTC/USD,96483,96562,96331,96436,35.14040271,3388799.876
1735894800,03.01.2025 09:00,BTC/USD,96042,96609,96042,96508,42.77999754,4128612.003
1735891200,03.01.2025 08:00,BTC/USD,96226,96446,96042,96042,38.5718787,3704520.374
1735887600,03.01.2025 07:00,BTC/USD,96495,96572,96216,96247,22.20919913,2137568.789
1735884000,03.01.2025 06:00,BTC/USD,96674,96835,96451,96482,11.29423806,1089690.677
1735880400,03.01.2025 05:00,BTC/USD,96736,96774,96528,96673,14.04240744,1357521.654
1735876800,03.01.2025 04:00,BTC/USD,96974,96974,96712,96727,9.74201885,942316.2573
1735873200,03.01.2025 03:00,BTC/USD,96922,97009,96782,96998,20.50579639,1989021.238
1735869600,03.01.2025 02:00,BTC/USD,96891,97234,96760,96889,106.4525839,10314084.4
1735866000,03.01.2025 01:00,BTC/USD,96740,96909,96585,96888,19.37335506,1877045.625
1735862400,03.01.2025 00:00,BTC/USD,96895,96980,96696,96740,32.55150141,3149032.246
1735858800,02.01.2025 23:00,BTC/USD,96780,96984,96711,96907,4.80492692,465631.053
1735855200,02.01.2025 22:00,BTC/USD,97068,97090,96616,96831,19.5988763,1897778.791
1735851600,02.01.2025 21:00,BTC/USD,97231,97257,96951,97136,7.72809411,750676.1495
1735848000,02.01.2025 20:00,BTC/USD,97303,97745,97213,97220,23.21129918,2256602.506
1735844400,02.01.2025 19:00,BTC/USD,97235,97700,97114,97212,19.13574213,1860223.764
1735840800,02.01.2025 18:00,BTC/USD,96723,97271,96337,97236,22.49215631,2187047.311
1735837200,02.01.2025 17:00,BTC/USD,97148,97512,96255,96678,80.08505473,7742462.921
1735833600,02.01.2025 16:00,BTC/USD,96401,97562,95964,97149,214.399191,20828667.01
